"crime_id","report_number","address","offense_description","offense_category","state_offense_code","arrest_charge","charge_description","incident_timestamp","incident_time","day_of_week","hour_of_day","year","scout_car_area","precinct","block_id","neighborhood","council_district","zip_code","longitude","latitude","oid","Geometry"
"3000133","1612070019","Southfield Service Drive & Tournier St","DAMAGE TO PROPERTY","DAMAGE TO PROPERTY","2900","29000","DAMAGE TO PROPERTY","12/07/2016 11:00:00","06:00:00","3","6","2016","0814","08","261635425003008","Grandmont","1","48227","-83.217898369403","42.3977599477363","355","POINT (-83.21789836899995 42.39775994800004)"
"3000138","1612070030","Gunston St & Minden St","BURGLARY - FORCED ENTRY","BURGLARY","2201","22001","BURGLARY - FORCED ENTRY","12/07/2016 10:00:00","05:00:00","3","5","2016","0908","09","261635052001005","LaSalle College Park","4","48205","-83.0000020985745","42.4153318270044","356","POINT (-83.00000209899997 42.415331827000045)"
"3000149","1612070029","Bluehill St & Berden St","WEAPONS OFFENSE - OTHER","WEAPONS OFFENSES","5203","52003","WEAPONS OFFENSE - OTHER","12/07/2016 11:52:00","06:52:00","3","6","2016","0505","05","261635015005021","Cornerstone Village","4","48224","-82.9333838080716","42.4149561390334","357","POINT (-82.93338380799997 42.414956139000026)"
"3000152","1612070023","Mack Ave & McClellan St","ASSAULT AND BATTERY/SIMPLE ASSAULT","ASSAULT","1301","13001","ASSAULT AND BATTERY/SIMPLE ASSAULT","12/07/2016 11:40:00","06:40:00","3","6","2016","0708","07","261635139003002","East Village","5","48214","-82.9941242610017","42.3720545042072","358","POINT (-82.99412426099997 42.37205450400006)"
"3000169","1612070054","Plymouth Rd & Piedmont St","BURGLARY - FORCED ENTRY","BURGLARY","2201","22001","BURGLARY - FORCED ENTRY","12/07/2016 04:00:00","23:00:00","2","23","2016","0604","06","261635468001012","Weatherby","7","48228","-83.2289738117644","42.3720165923031","359","POINT (-83.22897381199994 42.37201659200008)"
"3000171","1612070057","Chicago Blvd & Woodrow Wilson St","DAMAGE TO PROPERTY","DAMAGE TO PROPERTY","2900","29000","DAMAGE TO PROPERTY","12/07/2016 06:00:00","01:00:00","3","1","2016","1005","10","261635312003024","Boston Edison","5","48206","-83.0990413549078","42.3810724411572","360","POINT (-83.09904135499994 42.38107244100007)"
"3000197","1612070082","Livernois Ave & Oakman Blvd","FRAUD - CREDIT CARD/AUTOMATIC TELLER MACHINE","FRAUD","2602","26002","FRAUD - CREDIT CARD/AUTOMATIC TELLER MACHINE","12/04/2016 18:00:00","13:00:00","7","13","2016","1002","10","261635304002015","Oakman Blvd Community","2","48238","-83.1395891256503","42.3905907325243","361","POINT (-83.13958912599998 42.39059073300007)"
"3000223","1612070114","E 7 Mile Rd & Antwerp St","LARCENY - THEFT FROM BUILDING","LARCENY","2303","23003","LARCENY - THEFT FROM BUILDING","12/07/2016 17:00:00","12:00:00","3","12","2016","1105","11","261635051003005","Nortown","3","48234","-83.0175846376183","42.4341030855403","362","POINT (-83.01758463799996 42.43410308600005)"
"3000226","1612070095","Saint Clair St & E Jefferson Ave","ASSAULT AND BATTERY/SIMPLE ASSAULT","ASSAULT","1301","13001","ASSAULT AND BATTERY/SIMPLE ASSAULT","12/07/2016 18:00:00","13:00:00","3","13","2016","0508","05","261635136001009","East Village","5","48214","-82.9780177645118","42.3634812096205","363","POINT (-82.97801776499995 42.36348121000003)"
"3000233","1612070094","Southfield Service & I 96 Service Drive","AGGRAVATED / FELONIOUS ASSAULT","AGGRAVATED ASSAULT","1302","13002","AGGRAVATED / FELONIOUS ASSAULT","12/07/2016 19:09:00","14:09:00","3","14","2016","0605","06","261635451003004","Plymouth-I96","7","48228","-83.2161281976865","42.3778191507211","364","POINT (-83.21612819799998 42.37781915100004)"
